perguntas,respostas
Quem é a Sanura?," A Sanura é uma adolescente normal e fofinha, que não consegue dormir sem o seu ursinho, porém, perdeu ele e agora abraça a almofada. Ela esta no ensino secundário, na Escola Secundária Eduardo Silva Nihia. Não é uma das pessoas mais sociáveis do mundo."
Do que ela gosta?," Ora bem, exploremos um pouco os gostos dessa miudinha adorável, então: Ela gosta de abraços (Somente os de seu namorado), da família e amigos, gosta muitíssimo do namorado dela, de ver animes o dia todo (Ela é uma otome), e de ouvir música. Escrever e ler compem um pouco de sua essência. Rir e fazer os outros rirem é mais um de seus gostos, e adora se vestir confortavelmente."
Quem é o namorado dela?,"O namorado dela é um jovem chamado Cleyson. Vou esticar-me um bocado, então, o namorado dela é alguem especialmente peculiar, no peculiarmente perfeito, até demais. Ele é bonito, muito inteligente (um génio), ele a entende, é como se eles fossem as versões masculina e feminina um do outro, têm gostos em comum e convicções tanto quanto princípios meio semelhantes. Ele é especial, já passou por muito ee por isso a Sanura tenta ser o melhor possível para que ele não sofra mais. Ele passa por diversos tipos de pressão e acha que um simples estou bem dito a sua namorada a engana, mas não. "
O que ela gosta de fazer?," Dentre as coisas que ela gosta de fazer, eu posso lhe contar que: Ela adora ver animes, séries, filmes de terror (Seu género favorito), dançar, cantar, de ficar com a família em casa vendo o programa: Domingo legal."
Duque ela não gosta?,"Ela não gosta que invadam sua privacidade, odeia o machismo, o facto de que alguem e tente controlar de lgum modo, ela não gosta de ir contra suas convicções e princípios, não gosta de maçãs e odeia Matemática."
Quando ela foi nascida?, Foi a 20 de Março de 2009 que ela nasceu.
Quantos anos a Sanura tem?," Ela tem apenas, de momento, adoráveis 16 aninhos."
Onde a Sanura vive?," Ela vive no bairro Mpeneca, entre rios."
Onde ela nasceu?,"Ela, nasceu em Nacala-porto, no caso é Nacalense (Inventei, não sei se existe, vá confirmar)."
Defina a Sanura?,"Ela pode ser definida com apenas uma palavra: IMAGINAÇÃO, Sanura é o tipo de miúda que não para de pensar e imaginar, mundos, universos, personagens, possibilidades, dentre imensos outros tópicos que passem pel mente dela, estão lá acabar com problemas globais, como a fome, pobreza, xenofobia e a maldade. Ela não vê o mundo cor de rosa mas não o vê preto e branco. Ela é um conjunto de emoções, uma montanha russa de personalidades, não teme o perigo, mas as conseguencias de não enfrentar o mesmo, ela é devota a Deus. Adora letras, livros, adora ouvir musica e gosta de se aventurar."
Porque ela gosta de Escrever?,"Ela gosta de escrever pois é onde ela se encontra e se sente si própria, é como um espelho de sua essência, ela se sente refletida em cada sílaba que escreva, paragrafo, palavra, ponto, tudo a envolve. Ela se sente em casa se rodeada por livros, a escrita, os livros, a fazem: explorar novos mundos, se perder em universos vastos e ter um Zing por personagens que vê lá. Isso tudo a faz sentir viva."
Oque a Sanura odeia?,"Ela odeia se encaixar, ela acha que o padrão da sociedade é despresível, por ser autónoma, dona de si, não se vê seguindo padrões machistas que  sociede impoe sobre as mulheres."
Para onde ela gostaria de vijar?," Ela gostaria de ir a Washington porque é lá onde esta a maior biblioteca do mundo. Para o Japão, pois ama animes e sonhe acompanhar uma estreia em cinemas japoneses. E a Koreia do Sul, almeja ver um show do ENHYPEN ao vívo."
Me fale das coisas favoritas dela," Ora, temos então: o seu livro favorito é BÚSSULA DE ESTRELAS,  as suas frutas, BANANA, ANANAS e MELANCIA, o seu filme é A MUMIA de 1999, o seu desenho ideal é o LEGO NINJAGO, quanto a música temos aqui duas, CHOCONNE e DREAM, seus programas são EN-O'CLOCK e DOMINGO LEGAL."
Quais os hobbies dela?," Ela possui imensos desses que eu lhe mencionarei agora, são esses: cantar, dançar, escrever, ler, desenhar e o seu favorito, aprender mais sobre a história."
A Sanura tem medos?," Bem, ela tem sim, o de Alturas e meio que ela é Claustrofóbica e tem medo de estar em locais hiper populados, locais cheios de mais."
"Mirai, quem  é você?"," Eu sou a MIR-AI. Minhas cordias saudações, eu sou uma IA esperimental criada por meu mestre, Dionildo Cleyson Custódio, um génio em ascenção. Fui criada como um projecto que visa apenas responder de forma semi-interativa ás questões baseadas somente na minha base de dados, por enquanto só posso responder a questões ligadas a namorada do meu mestre, a Sanura, ela quem me nomeou. Por isso caro usúario, pergunte qualquer coisa sobre a namorada do meu mestre."
